,healthex_per_gov,age_dependency,trade_per_gdp,pcgni_current_dollar,mater_death_risk,lifeexp_total
Poland,10.66663012,15.6116365286853,82.9767978232824,10657.7057356059,0.00452239159981611,77.4512195121951
Portugal,12.29530281,20.7386341549285,61.1880508365191,15389.3209978553,0.0122617624531247,81.1243902439025
Paraguay,10.84628087,6.02042228795718,51.5771002001241,3320.76365677616,0.368275060116238,73.023
Pacific island small states,9.29213563791449,4.80426959703202,66.2220380874415,3269.97387456608,0.252975166496496,70.6923836808558
Post-demographic dividend,18.8944258003399,18.0072315071277,44.4094484194813,33815.2499590852,0.0171003906286156,80.4078604078664
Qatar,6.29298344,1.08976727748385,68.3697240616714,50409.7520929093,0.028673656702083,78.036
Romania,10.76250167,16.9997204253178,73.345264823941,7081.89248540659,0.0428982038241866,75.0121951219512
Russian Federation,9.57116474,13.4886241107355,39.0556653365911,7497.32428827927,0.0444311514608172,71.1682926829268
Rwanda,6.20894245,2.80876659661812,37.0310852695891,556.218407783722,1.17884968586362,66.696
Saudi Arabia,10.0873369,3.05330228869888,57.8088031155195,17257.3585660056,0.0325686193213649,74.4
Sudan,18.08911969,3.45567120594151,13.0492305692307,2017.59745193706,1.38887986214656,64.257
Senegal,4.20332912,2.99474647582819,46.1909174375305,775.245904974797,1.63320028488616,66.784
Singapore,12.04345383,11.6861496348321,211.571173917703,43618.1111997833,0.0121255580081734,82.7439024390244
Solomon Islands,10.57108434,3.4440204125403,75.0210841675896,1432.87089926787,0.458520692279822,70.43
Sierra Leone,7.85557527,2.50187058908875,48.4036163607096,490.438008234516,5.93782378973531,51.423
El Salvador,19.0972176,7.93114843330939,68.2138015324369,3571.96011252483,0.111753120017658,73.267
Serbia,12.34130723,16.3052801402735,85.0102727945552,4126.07290054751,0.0259621357282899,75.2878048780488
Sao Tome and Principe,10.68091529,3.00276651342603,48.5409027558715,793.841452394435,0.737941619756343,66.488
Suriname,10.53682255,6.67976601929112,77.201170752583,6405.1999020365,0.371636755789627,71.279
Slovak Republic,12.0478851,14.0572954182859,169.924704425056,12543.6960300525,0.00825551995837333,76.5634146341463
Slovenia,12.65877275,18.0347100523041,143.425552119606,15947.0302410762,0.0142959166333991,80.7756097560976
Sweden,18.35610877,19.5977493876468,55.9443077477677,43232.80838575,0.00776987452106635,82.2048780487805
Eswatini,14.9065107,3.10945094468507,79.6597317120509,2659.16211809842,1.31091049851793,57.107
Chad,6.27817164,2.46263708550815,53.9010202347853,632.948288889487,5.51880158869135,52.575
East Asia & Pacific (IDA & IBRD countries),10.029758813024,8.44952417902792,42.1462500009408,5223.58389012648,0.115748815037599,74.3710640140637
